Day,Node,Demand
340,Adelaide,44.217
340,Brisbane,68.9
340,Melbourne,202.117
340,Sydney,212.721
341,APLNG,3702.4230000000002
341,Adelaide,43.58
341,Brisbane,73.208
341,Melbourne,181.351
341,Sydney,201.212
342,APLNG,3755.287
342,Adelaide,39.316
342,Brisbane,56.408
342,Melbourne,129.635
342,Sydney,172.915
343,APLNG,3794.77
343,Adelaide,39.356
343,Brisbane,53.907
343,Melbourne,152.714
343,Sydney,166.19299999999998
344,APLNG,3709.216
344,Adelaide,48.507
344,Brisbane,71.702
344,Melbourne,206.883
344,Sydney,193.08599999999998
345,APLNG,3702.628
345,Adelaide,47.894999999999996
345,Brisbane,73.715
345,Melbourne,228.991
345,Sydney,212.456
346,APLNG,3735.589
346,Adelaide,47.107
346,Brisbane,79.738
346,Melbourne,232.067
346,Sydney,222.826
347,APLNG,3689.883
347,Adelaide,54.331
347,Brisbane,76.452
347,Melbourne,204.871
347,Sydney,223.289
348,APLNG,3453.449
348,Adelaide,49.958999999999996
348,Brisbane,72.567
348,Melbourne,195.614
348,Sydney,219.133
349,APLNG,3503.2709999999997
349,Adelaide,38.246
349,Brisbane,64.895
349,Melbourne,184.844
349,Sydney,202.875
350,APLNG,3641.4880000000003
350,Adelaide,32.324
350,Brisbane,71.892
350,Melbourne,188.759
350,Sydney,204.227
351,APLNG,3591.378
351,Adelaide,45.94
351,Brisbane,89.534
351,Melbourne,243.408
351,Sydney,224.106
352,APLNG,3739.924
352,Adelaide,46.709
352,Brisbane,88.628
352,Melbourne,195.143
352,Sydney,211.63899999999998
353,APLNG,3564.459
353,Adelaide,44.319
353,Brisbane,111.105
353,Melbourne,182.493
353,Sydney,209.692
354,APLNG,3740.942
354,Adelaide,46.788
354,Brisbane,107.555
354,Melbourne,188.394
354,Sydney,179.235
355,APLNG,3608.165
355,Adelaide,45.507
355,Brisbane,106.332
355,Melbourne,189.797
355,Sydney,172.137
356,APLNG,3673.4629999999997
356,Adelaide,40.650000000000006
356,Brisbane,69.434
356,Melbourne,179.133
356,Sydney,165.822
357,APLNG,3812.332
357,Adelaide,37.306
357,Brisbane,70.433
357,Melbourne,156.577
357,Sydney,154.98700000000002
358,APLNG,3797.215
358,Adelaide,37.355000000000004
358,Brisbane,70.935
358,Melbourne,143.166
358,Sydney,157.804
359,APLNG,3826.361
359,Adelaide,31.41
359,Brisbane,65.736
359,Melbourne,129.489
359,Sydney,144.992
360,APLNG,3762.381
360,Adelaide,33.188
360,Brisbane,67.899
360,Melbourne,136.996
360,Sydney,147.766
361,APLNG,3781.477
361,Adelaide,37.678
361,Brisbane,74.532
361,Melbourne,181.94799999999998
361,Sydney,159.153
362,APLNG,3762.126
362,Adelaide,36.829
362,Brisbane,72.907
362,Melbourne,193.454
362,Sydney,157.68200000000002
363,APLNG,3752.661
363,Adelaide,33.803
363,Brisbane,67.139
363,Melbourne,149.41400000000002
363,Sydney,152.902
364,APLNG,3774.929
364,Adelaide,34.065
364,Brisbane,66.297
364,Melbourne,156.847
364,Sydney,154.066
365,APLNG,3726.871
365,Adelaide,36.5
365,Brisbane,95.108
365,Melbourne,162.33599999999998
365,Sydney,163.725
1,APLNG,3839.812
1,Adelaide,32.937
1,Brisbane,96.634
1,Melbourne,148.535
1,Sydney,154.356
2,APLNG,3831.52
2,Adelaide,40.365
2,Brisbane,116.831
2,Melbourne,179.654
2,Sydney,184.424
3,APLNG,3818.121
3,Adelaide,36.806
3,Brisbane,121.59
3,Melbourne,214.475
3,Sydney,183.191
4,APLNG,3786.26
4,Adelaide,42.97
4,Brisbane,119.001
4,Melbourne,192.56
4,Sydney,179.489
5,APLNG,3742.759
5,Adelaide,37.074
5,Brisbane,97.465
5,Melbourne,166.045
5,Sydney,166.745
6,APLNG,3736.88
6,Adelaide,24.978
6,Brisbane,99.887
