facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
Otway,530044,PROD,MDQ,-1,,-1,,,NONE,205.000,06 Mar 2026 00:00:00,nameplate,2026/03/06 09:56:57
Bairnsdale Power Station,535020,BBGPG,MDQ,-1,,-1,,,NONE,37.200,10 Mar 2026 00:00:00,Normal Firm Capacity,2026/03/10 11:08:30
Braemar Power Station,544252,BBGPG,MDQ,-1,,-1,,,NONE,120.000,10 Mar 2026 00:00:00,Normal Firm Capacity,2026/03/10 11:08:02
Atlas East Central Processing Facility,640008,PROD,MDQ,-1,,-1,,,NONE,57.000,12 Mar 2026 00:00:00,Maximum Capacity,2026/03/12 16:07:54
RMNGPF,640011,PROD,MDQ,-1,,-1,,,NONE,28.500,12 Mar 2026 00:00:00,Maximum Capacity,2026/03/12 16:13:23
Rolleston,540073,PROD,MDQ,-1,,-1,,,NONE,10.000,13 Mar 2026 00:00:00,Nameplate restricted to current operating well capacity of approximately 10.0 TJ/d. Note nominal facilities nameplate capacity remains at 15 TJ/d.,2026/03/09 10:21:50
Yellowbank,540074,PROD,MDQ,-1,,-1,,,NONE,18.000,13 Mar 2026 00:00:00,Capacity has been reduced to reflect overall well decline offset by new wells coming on line which results in a peak throughput increasing to 18.0 TJ/d. Note nominal Facilities nameplate capacity remains at 30 TJ/d but reduced to 26 TJ due to current proc,2026/03/09 10:21:50
B1PL,540077,PIPE,MDQ,1404250,Tipton to Braemar,1404256,Braemar-RBP,Normal Firm Capacity,NONE,80.000,15 Mar 2026 00:00:00,Normal Firm Capacity,2026/03/15 13:01:05
B1PL,540077,PIPE,MDQ,1404251,Daandine to Braemar,1404252,Braemar to Braemar Power Station,Normal Firm Capacity,NONE,40.000,15 Mar 2026 00:00:00,Normal Firm Capacity,2026/03/15 13:01:05
B1PL,540077,PIPE,MDQ,1404252,Braemar to Braemar Power Station,1404255,Windibri to Braemar,Normal Firm Capacity,NONE,40.000,15 Mar 2026 00:00:00,Normal Firm Capacity,2026/03/15 13:01:05
B1PL,540077,PIPE,MDQ,1404255,Windibri to Braemar,1404252,Braemar to Braemar Power Station,Normal Firm Capacity,NONE,120.000,15 Mar 2026 00:00:00,Normal Firm Capacity,2026/03/15 13:01:05
ATHENA,535014,PROD,MDQ,-1,,-1,,,NONE,22.000,18 Mar 2026 00:00:00,Updated based on offshore well performance,2026/03/18 10:05:28
BCF,540047,COMPRESSOR,MDQ,-1,,-1,,Ballera Compression Nameplate Rating,NONE,120.000,19 Mar 2026 00:00:00,Ballera Compression Nameplate Rating,2026/03/19 18:07:01
Moomba,550045,PROD,MDQ,-1,,-1,,,NONE,290.000,19 Mar 2026 00:00:00,Moomba Plant (inclusive of LDB Storage capacity),2026/03/19 18:07:01
Moomba Storage,550046,STOR,MDQ,-1,,-1,,,DELIVERY,4.900,19 Mar 2026 00:00:00,MLDB Withdrawal Capacity,2026/03/19 18:07:01
Moomba Storage,550046,STOR,MDQ,-1,,-1,,,RECEIPT,0.000,19 Mar 2026 00:00:00,MLDB Injection Capacity,2026/03/19 18:07:01
Moomba Storage,550046,STOR,STORAGE,-1,,-1,,,NONE,70000.000,19 Mar 2026 00:00:00,MLDB Maximum Storage Holding Capacity (HCAP),2026/03/19 18:07:01
Arcadia,540101,PROD,MDQ,-1,,-1,,,NONE,105.000,23 Mar 2026 00:00:00,Capacity matched to field production,2026/03/23 15:43:09
CRWP,540098,PIPE,MDQ,1404175,CRWP Receipt Point,1404180,WDS to SWQP Delivery point,Capacity that can flow to Wallumbilla,NONE,175.000,23 Mar 2026 00:00:00,Capacity that can flow to Wallumbilla,2026/03/23 15:43:07
CRWP,540098,PIPE,MDQ,1404179,WCS3 Receipt from SWQP,1404174,CRWP Delivery point,Capacity that can flow to GTP,NONE,950.000,23 Mar 2026 00:00:00,Capacity that can flow to GTP,2026/03/23 15:43:07
Fairview,540070,PROD,MDQ,-1,,-1,,,NONE,295.000,23 Mar 2026 00:00:00,Capacity matched to field production,2026/03/23 15:43:09
GLNG (Curtis Island),544276,LNGEXPORT,MDQ,-1,,-1,,Capacity that can be processed by LNG plant,PROCESSED,1384.000,23 Mar 2026 00:00:00,Capacity that can be processed by LNG plant,2026/03/23 15:43:07
GLNG (Curtis Island),544276,LNGEXPORT,MDQ,-1,,-1,,Capacity that can be received by LNG plant,RECEIPT,1497.000,23 Mar 2026 00:00:00,Capacity that can be received by LNG plant,2026/03/23 15:43:07
GLNG Pipeline,540092,PIPE,MDQ,1404172,CRWP Receipt point,1404160,GTP Outlet Station Receipt point,Capacity that can flow to LNG plant,NONE,1430.000,23 Mar 2026 00:00:00,Capacity that can flow to LNG plant,2026/03/23 15:43:07
Meridian,540064,PROD,MDQ,-1,,-1,,,NONE,54.000,23 Mar 2026 00:00:00,Annual Submission,2026/03/23 07:35:43
Pipeline Compression Station,544279,COMPRESSOR,MDQ,-1,,-1,,Capacity that can be processed by PCS,NONE,175.000,23 Mar 2026 00:00:00,Capacity that can be processed by PCS,2026/03/23 15:43:07
Roma,540095,PROD,MDQ,-1,,-1,,,NONE,245.000,23 Mar 2026 00:00:00,"Storage withdrawal capacity, within the total Roma figure, matched to current storage inventory levels",2026/03/23 15:43:12
RUGS,540040,STOR,MDQ,-1,,-1,,,DELIVERY,10.000,23 Mar 2026 00:00:00,RUGS (storage) withdrawal capacity matched to current storage inventory levels,2026/03/23 15:43:12
RUGS,540040,STOR,MDQ,-1,,-1,,,RECEIPT,150.000,23 Mar 2026 00:00:00,RUGS (storage) injection capacity matched to current storage inventory levels,2026/03/23 15:43:12
RUGS,540040,STOR,STORAGE,-1,,-1,,,NONE,54000.000,23 Mar 2026 00:00:00,Volume that can be stored in RUGS,2026/03/23 15:43:12
Scotia,540072,PROD,MDQ,-1,,-1,,,NONE,110.000,23 Mar 2026 00:00:00,Capacity matched to field production,2026/03/23 15:43:12
Wallumbilla Compression Station,544280,COMPRESSOR,MDQ,-1,,-1,,Capacity that can be processed by WCS,NONE,177.000,23 Mar 2026 00:00:00,Capacity that can be processed by WCS,2026/03/23 15:43:07
RNMGP,640012,PIPE,MDQ,1490109,Mimas Gas Pipeline Receipt Point,1490110,Mimas Gas Pipeline Delivery to Mooga QGP,Mimas to Mooga,NONE,54.000,24 Mar 2026 00:00:00,Maximum Capacity,2026/03/24 09:41:46
